attack_type,pokemon_id,pokemon,def_type1,def_type2,gen1_multiplier,modern_multiplier,dual,differs
normal,1,bulbasaur,grass,poison,1,1,1,0
normal,2,ivysaur,grass,poison,1,1,1,0
normal,3,venusaur,grass,poison,1,1,1,0
normal,4,charmander,fire,,1,1,0,0
normal,5,charmeleon,fire,,1,1,0,0
normal,6,charizard,fire,flying,1,1,1,0
normal,7,squirtle,water,,1,1,0,0
normal,8,wartortle,water,,1,1,0,0
normal,9,blastoise,water,,1,1,0,0
normal,10,caterpie,bug,,1,1,0,0
normal,11,metapod,bug,,1,1,0,0
normal,12,butterfree,bug,flying,1,1,1,0
normal,13,weedle,bug,poison,1,1,1,0
normal,14,kakuna,bug,poison,1,1,1,0
normal,15,beedrill,bug,poison,1,1,1,0
normal,16,pidgey,normal,flying,1,1,1,0
normal,17,pidgeotto,normal,flying,1,1,1,0
normal,18,pidgeot,normal,flying,1,1,1,0
normal,19,rattata,normal,,1,1,0,0
normal,20,raticate,normal,,1,1,0,0
normal,21,spearow,normal,flying,1,1,1,0
normal,22,fearow,normal,flying,1,1,1,0
normal,23,ekans,poison,,1,1,0,0
normal,24,arbok,poison,,1,1,0,0
normal,25,pikachu,electric,,1,1,0,0
normal,26,raichu,electric,,1,1,0,0
normal,27,sandshrew,ground,,1,1,0,0
normal,28,sandslash,ground,,1,1,0,0
normal,29,nidoran-f,poison,,1,1,0,0
normal,30,nidorina,poison,,1,1,0,0
normal,31,nidoqueen,poison,ground,1,1,1,0
normal,32,nidoran-m,poison,,1,1,0,0
normal,33,nidorino,poison,,1,1,0,0
normal,34,nidoking,poison,ground,1,1,1,0
normal,35,clefairy,normal,,1,1,0,0
normal,36,clefable,normal,,1,1,0,0
normal,37,vulpix,fire,,1,1,0,0
normal,38,ninetales,fire,,1,1,0,0
normal,39,jigglypuff,normal,,1,1,0,0
normal,40,wigglytuff,normal,,1,1,0,0
normal,41,zubat,poison,flying,1,1,1,0
normal,42,golbat,poison,flying,1,1,1,0
normal,43,oddish,grass,poison,1,1,1,0
normal,44,gloom,grass,poison,1,1,1,0
normal,45,vileplume,grass,poison,1,1,1,0
normal,46,paras,bug,grass,1,1,1,0
normal,47,parasect,bug,grass,1,1,1,0
normal,48,venonat,bug,poison,1,1,1,0
normal,49,venomoth,bug,poison,1,1,1,0
normal,50,diglett,ground,,1,1,0,0
normal,51,dugtrio,ground,,1,1,0,0
normal,52,meowth,normal,,1,1,0,0
normal,53,persian,normal,,1,1,0,0
normal,54,psyduck,water,,1,1,0,0
normal,55,golduck,water,,1,1,0,0
normal,56,mankey,fighting,,1,1,0,0
normal,57,primeape,fighting,,1,1,0,0
normal,58,growlithe,fire,,1,1,0,0
normal,59,arcanine,fire,,1,1,0,0
normal,60,poliwag,water,,1,1,0,0
normal,61,poliwhirl,water,,1,1,0,0
normal,62,poliwrath,water,fighting,1,1,1,0
normal,63,abra,psychic,,1,1,0,0
normal,64,kadabra,psychic,,1,1,0,0
normal,65,alakazam,psychic,,1,1,0,0
normal,66,machop,fighting,,1,1,0,0
normal,67,machoke,fighting,,1,1,0,0
normal,68,machamp,fighting,,1,1,0,0
normal,69,bellsprout,grass,poison,1,1,1,0
normal,70,weepinbell,grass,poison,1,1,1,0
normal,71,victreebel,grass,poison,1,1,1,0
normal,72,tentacool,water,poison,1,1,1,0
normal,73,tentacruel,water,poison,1,1,1,0
normal,74,geodude,rock,ground,1/2,1/2,1,0
normal,75,graveler,rock,ground,1/2,1/2,1,0
normal,76,golem,rock,ground,1/2,1/2,1,0
normal,77,ponyta,fire,,1,1,0,0
normal,78,rapidash,fire,,1,1,0,0
normal,79,slowpoke,water,psychic,1,1,1,0
normal,80,slowbro,water,psychic,1,1,1,0
normal,81,magnemite,electric,,1,1,0,0
normal,82,magneton,electric,,1,1,0,0
normal,83,farfetchd,normal,flying,1,1,1,0
normal,84,doduo,normal,flying,1,1,1,0
normal,85,dodrio,normal,flying,1,1,1,0
normal,86,seel,water,,1,1,0,0
normal,87,dewgong,water,ice,1,1,1,0
normal,88,grimer,poison,,1,1,0,0
normal,89,muk,poison,,1,1,0,0
normal,90,shellder,water,,1,1,0,0
normal,91,cloyster,water,ice,1,1,1,0
normal,92,gastly,ghost,poison,0,0,1,0
normal,93,haunter,ghost,poison,0,0,1,0
normal,94,gengar,ghost,poison,0,0,1,0
normal,95,onix,rock,ground,1/2,1/2,1,0
normal,96,drowzee,psychic,,1,1,0,0
normal,97,hypno,psychic,,1,1,0,0
normal,98,krabby,water,,1,1,0,0
normal,99,kingler,water,,1,1,0,0
normal,100,voltorb,electric,,1,1,0,0
normal,101,electrode,electric,,1,1,0,0
normal,102,exeggcute,grass,psychic,1,1,1,0
normal,103,exeggutor,grass,psychic,1,1,1,0
normal,104,cubone,ground,,1,1,0,0
normal,105,marowak,ground,,1,1,0,0
normal,106,hitmonlee,fighting,,1,1,0,0
normal,107,hitmonchan,fighting,,1,1,0,0
normal,108,lickitung,normal,,1,1,0,0
normal,109,koffing,poison,,1,1,0,0
normal,110,weezing,poison,,1,1,0,0
normal,111,rhyhorn,ground,rock,1/2,1/2,1,0
normal,112,rhydon,ground,rock,1/2,1/2,1,0
normal,113,chansey,normal,,1,1,0,0
normal,114,tangela,grass,,1,1,0,0
normal,115,kangaskhan,normal,,1,1,0,0
normal,116,horsea,water,,1,1,0,0
normal,117,seadra,water,,1,1,0,0
normal,118,goldeen,water,,1,1,0,0
normal,119,seaking,water,,1,1,0,0
normal,120,staryu,water,,1,1,0,0
normal,121,starmie,water,psychic,1,1,1,0
normal,122,mr-mime,psychic,,1,1,0,0
normal,123,scyther,bug,flying,1,1,1,0
normal,124,jynx,ice,psychic,1,1,1,0
normal,125,electabuzz,electric,,1,1,0,0
normal,126,magmar,fire,,1,1,0,0
normal,127,pinsir,bug,,1,1,0,0
normal,128,tauros,normal,,1,1,0,0
normal,129,magikarp,water,,1,1,0,0
normal,130,gyarados,water,flying,1,1,1,0
normal,131,lapras,water,ice,1,1,1,0
normal,132,ditto,normal,,1,1,0,0
normal,133,eevee,normal,,1,1,0,0
normal,134,vaporeon,water,,1,1,0,0
normal,135,jolteon,electric,,1,1,0,0
normal,136,flareon,fire,,1,1,0,0
normal,137,porygon,normal,,1,1,0,0
normal,138,omanyte,rock,water,1/2,1/2,1,0
normal,139,omastar,rock,water,1/2,1/2,1,0
normal,140,kabuto,rock,water,1/2,1/2,1,0
normal,141,kabutops,rock,water,1/2,1/2,1,0
normal,142,aerodactyl,rock,flying,1/2,1/2,1,0
normal,143,snorlax,normal,,1,1,0,0
normal,144,articuno,ice,flying,1,1,1,0
normal,145,zapdos,electric,flying,1,1,1,0
normal,146,moltres,fire,flying,1,1,1,0
normal,147,dratini,dragon,,1,1,0,0
normal,148,dragonair,dragon,,1,1,0,0
normal,149,dragonite,dragon,flying,1,1,1,0
normal,150,mewtwo,psychic,,1,1,0,0
normal,151,mew,psychic,,1,1,0,0
fighting,1,bulbasaur,grass,poison,1/2,1/2,1,0
fighting,2,ivysaur,grass,poison,1/2,1/2,1,0
fighting,3,venusaur,grass,poison,1/2,1/2,1,0
fighting,4,charmander,fire,,1,1,0,0
fighting,5,charmeleon,fire,,1,1,0,0
fighting,6,charizard,fire,flying,1/2,1/2,1,0
fighting,7,squirtle,water,,1,1,0,0
fighting,8,wartortle,water,,1,1,0,0
fighting,9,blastoise,water,,1,1,0,0
fighting,10,caterpie,bug,,1/2,1/2,0,0
fighting,11,metapod,bug,,1/2,1/2,0,0
fighting,12,butterfree,bug,flying,1/4,1/4,1,0
fighting,13,weedle,bug,poison,1/4,1/4,1,0
fighting,14,kakuna,bug,poison,1/4,1/4,1,0
fighting,15,beedrill,bug,poison,1/4,1/4,1,0
fighting,16,pidgey,normal,flying,1,1,1,0
fighting,17,pidgeotto,normal,flying,1,1,1,0
fighting,18,pidgeot,normal,flying,1,1,1,0
fighting,19,rattata,normal,,2,2,0,0
fighting,20,raticate,normal,,2,2,0,0
fighting,21,spearow,normal,flying,1,1,1,0
fighting,22,fearow,normal,flying,1,1,1,0
fighting,23,ekans,poison,,1/2,1/2,0,0
fighting,24,arbok,poison,,1/2,1/2,0,0
fighting,25,pikachu,electric,,1,1,0,0
fighting,26,raichu,electric,,1,1,0,0
fighting,27,sandshrew,ground,,1,1,0,0
fighting,28,sandslash,ground,,1,1,0,0
fighting,29,nidoran-f,poison,,1/2,1/2,0,0
fighting,30,nidorina,poison,,1/2,1/2,0,0
fighting,31,nidoqueen,poison,ground,1/2,1/2,1,0
fighting,32,nidoran-m,poison,,1/2,1/2,0,0
fighting,33,nidorino,poison,,1/2,1/2,0,0
fighting,34,nidoking,poison,ground,1/2,1/2,1,0
fighting,35,clefairy,normal,,2,2,0,0
fighting,36,clefable,normal,,2,2,0,0
fighting,37,vulpix,fire,,1,1,0,0
fighting,38,ninetales,fire,,1,1,0,0
fighting,39,jigglypuff,normal,,2,2,0,0
