item_id,stratum,attack_type,pokemon_id,pokemon,def_type1,def_type2,gen1_multiplier,modern_multiplier
i0000,differs,ice,37,vulpix,fire,,1,1/2
i0001,quad,fighting,12,butterfree,bug,flying,1/4,1/4
i0002,dual,bug,142,aerodactyl,rock,flying,1/2,1/2
i0003,single,normal,8,wartortle,water,,1,1
i0004,dual,normal,85,dodrio,normal,flying,1,1
i0005,dual,electric,42,golbat,poison,flying,2,2
i0006,single,fighting,27,sandshrew,ground,,1,1
i0007,dual,rock,149,dragonite,dragon,flying,2,2
i0008,differs,bug,15,beedrill,bug,poison,2,1/2
i0009,immune,ghost,84,doduo,normal,flying,0,0
i0010,quad,grass,1,bulbasaur,grass,poison,1/4,1/4
i0011,single,normal,113,chansey,normal,,1,1
i0012,differs,bug,42,golbat,poison,flying,1,1/4
i0013,dual,ice,94,gengar,ghost,poison,1,1
i0014,dual,electric,12,butterfree,bug,flying,2,2
i0015,quad,grass,95,onix,rock,ground,4,4
i0016,dual,ice,130,gyarados,water,flying,1,1
i0017,immune,electric,112,rhydon,ground,rock,0,0
i0018,single,bug,97,hypno,psychic,,2,2
i0019,differs,poison,12,butterfree,bug,flying,2,1
i0020,dual,flying,144,articuno,ice,flying,1,1
i0021,single,bug,4,charmander,fire,,1/2,1/2
i0022,quad,flying,47,parasect,bug,grass,4,4
i0023,single,fire,150,mewtwo,psychic,,1,1
i0024,differs,ghost,124,jynx,ice,psychic,0,2
i0025,immune,ghost,39,jigglypuff,normal,,0,0
i0026,immune,ground,17,pidgeotto,normal,flying,0,0
i0027,immune,ghost,35,clefairy,normal,,0,0
i0028,quad,grass,45,vileplume,grass,poison,1/4,1/4
i0029,quad,poison,111,rhyhorn,ground,rock,1/4,1/4
i0030,dual,rock,14,kakuna,bug,poison,2,2
i0031,quad,fire,139,omastar,rock,water,1/4,1/4
i0032,immune,electric,51,dugtrio,ground,,0,0
i0033,single,ground,57,primeape,fighting,,1,1
i0034,differs,ice,126,magmar,fire,,1,1/2
i0035,dual,fighting,1,bulbasaur,grass,poison,1/2,1/2
i0036,dual,normal,48,venonat,bug,poison,1,1
i0037,single,ice,101,electrode,electric,,1,1
i0038,single,poison,96,drowzee,psychic,,1,1
i0039,dual,fighting,43,oddish,grass,poison,1/2,1/2
i0040,quad,poison,74,geodude,rock,ground,1/4,1/4
i0041,single,ghost,88,grimer,poison,,1,1
i0042,differs,bug,70,weepinbell,grass,poison,4,1
i0043,dual,dragon,74,geodude,rock,ground,1,1
i0044,dual,fighting,62,poliwrath,water,fighting,1,1
i0045,differs,ice,136,flareon,fire,,1,1/2
i0046,dual,electric,145,zapdos,electric,flying,1,1
i0047,dual,ice,140,kabuto,rock,water,1/2,1/2
i0048,differs,bug,92,gastly,ghost,poison,1,1/4
i0049,differs,bug,71,victreebel,grass,poison,4,1
i0050,differs,ghost,97,hypno,psychic,,0,2
i0051,dual,dragon,18,pidgeot,normal,flying,1,1
i0052,dual,poison,42,golbat,poison,flying,1/2,1/2
i0053,single,normal,78,rapidash,fire,,1,1
i0054,dual,dragon,83,farfetchd,normal,flying,1,1
i0055,dual,rock,76,golem,rock,ground,1/2,1/2
i0056,quad,fighting,14,kakuna,bug,poison,1/4,1/4
i0057,single,fire,107,hitmonchan,fighting,,1,1
i0058,dual,flying,17,pidgeotto,normal,flying,1,1
i0059,dual,psychic,43,oddish,grass,poison,2,2
i0060,immune,electric,28,sandslash,ground,,0,0
i0061,differs,bug,45,vileplume,grass,poison,4,1
i0062,dual,grass,91,cloyster,water,ice,2,2
i0063,single,bug,117,seadra,water,,1,1
i0064,dual,dragon,130,gyarados,water,flying,1,1
i0065,quad,fighting,49,venomoth,bug,poison,1/4,1/4
i0066,single,dragon,107,hitmonchan,fighting,,1,1
i0067,dual,psychic,123,scyther,bug,flying,1,1
i0068,single,flying,104,cubone,ground,,1,1
i0069,differs,bug,73,tentacruel,water,poison,2,1/2
i0070,single,psychic,67,machoke,fighting,,2,2
i0071,single,ghost,81,magnemite,electric,,1,1
i0072,dual,ice,2,ivysaur,grass,poison,2,2
i0073,dual,rock,71,victreebel,grass,poison,1,1
i0074,quad,poison,76,golem,rock,ground,1/4,1/4
i0075,single,electric,108,lickitung,normal,,1,1
i0076,single,bug,63,abra,psychic,,2,2
i0077,single,poison,4,charmander,fire,,1,1
i0078,dual,psychic,80,slowbro,water,psychic,1/2,1/2
i0079,dual,psychic,93,haunter,ghost,poison,2,2
i0080,differs,poison,11,metapod,bug,,2,1
i0081,differs,bug,31,nidoqueen,poison,ground,2,1/2
i0082,single,grass,126,magmar,fire,,1/2,1/2
i0083,single,rock,151,mew,psychic,,1,1
i0084,dual,ice,14,kakuna,bug,poison,1,1
i0085,dual,electric,48,venonat,bug,poison,1,1
i0086,quad,fire,141,kabutops,rock,water,1/4,1/4
i0087,single,ground,63,abra,psychic,,1,1
i0088,differs,ghost,63,abra,psychic,,0,2
i0089,immune,ground,142,aerodactyl,rock,flying,0,0
i0090,dual,fighting,103,exeggutor,grass,psychic,1/2,1/2
