item_id,stratum,attack_type,pokemon_id,pokemon,def_type1,def_type2,gen1_multiplier,modern_multiplier
i0000,dual,normal,47,parasect,bug,grass,1,1
i0001,single,ghost,78,rapidash,fire,,1,1
i0002,dual,water,13,weedle,bug,poison,1,1
i0003,dual,fighting,146,moltres,fire,flying,1/2,1/2
i0004,single,flying,110,weezing,poison,,1,1
i0005,dual,ground,94,gengar,ghost,poison,2,2
i0006,quad,poison,75,graveler,rock,ground,1/4,1/4
i0007,dual,normal,62,poliwrath,water,fighting,1,1
i0008,single,dragon,148,dragonair,dragon,,2,2
i0009,immune,ghost,18,pidgeot,normal,flying,0,0
i0010,immune,fighting,94,gengar,ghost,poison,0,0
i0011,immune,ghost,19,rattata,normal,,0,0
i0012,single,ground,26,raichu,electric,,2,2
i0013,dual,water,146,moltres,fire,flying,2,2
i0014,single,rock,148,dragonair,dragon,,1,1
i0015,single,electric,96,drowzee,psychic,,1,1
i0016,dual,psychic,140,kabuto,rock,water,1,1
i0017,quad,fighting,13,weedle,bug,poison,1/4,1/4
i0018,dual,ground,87,dewgong,water,ice,1,1
i0019,dual,psychic,70,weepinbell,grass,poison,2,2
i0020,quad,ground,46,paras,bug,grass,1/4,1/4
i0021,dual,fire,44,gloom,grass,poison,2,2
i0022,single,fire,58,growlithe,fire,,1/2,1/2
i0023,quad,grass,75,graveler,rock,ground,4,4
i0024,dual,poison,130,gyarados,water,flying,1,1
i0025,dual,electric,138,omanyte,rock,water,2,2
i0026,single,normal,96,drowzee,psychic,,1,1
i0027,single,poison,66,machop,fighting,,1,1
i0028,single,ghost,28,sandslash,ground,,1,1
i0029,single,fighting,127,pinsir,bug,,1/2,1/2
i0030,immune,electric,95,onix,rock,ground,0,0
i0031,quad,rock,144,articuno,ice,flying,4,4
i0032,dual,ice,31,nidoqueen,poison,ground,2,2
i0033,immune,ground,12,butterfree,bug,flying,0,0
i0034,dual,dragon,15,beedrill,bug,poison,1,1
i0035,immune,ghost,36,clefable,normal,,0,0
i0036,immune,fighting,92,gastly,ghost,poison,0,0
i0037,dual,ice,85,dodrio,normal,flying,2,2
i0038,single,electric,113,chansey,normal,,1,1
i0039,dual,ground,141,kabutops,rock,water,2,2
i0040,dual,ice,70,weepinbell,grass,poison,2,2
i0041,single,ground,104,cubone,ground,,1,1
i0042,quad,poison,93,haunter,ghost,poison,1/4,1/4
i0043,quad,bug,146,moltres,fire,flying,1/4,1/4
