model,family,params_total_b,params_active_b,quant,host_pinned,hosts_seen,host_errors,format,max_tokens,items,epochs,exact,exact_stderr,exact_epoch_range,bucket,steps_off,parse_failures,transposed_misses,misses,quad,immune,differs,log
meta-llama/llama-3.2-1b-instruct,llama-3,1.24,1.24,unknown,Cloudflare,?:2;Cloudflare:400,0,rows,1024,400,1,0.295,0.0228,0.0,0.315,1.7675,0.1725,36,282,0.0612,0.2449,0.3099,2026-08-29T10-02-00-00-00_pokemon-gen1_FZfDNy6um4JcBfbbmCfiX7.eval
meta-llama/llama-3.2-3b-instruct,llama-3,3.21,3.21,bf16,Parasail,?:38;Parasail:400,0,rows,1024,400,1,0.24,0.0214,0.0,0.2975,1.415,0.0125,68,304,0.0612,0.1429,0.338,2026-08-29T10-02-41-00-00_pokemon-gen1_3iDZYzQaHqTDGM6VyASYsW.eval
google/gemma-3-4b-it,gemma-3,4.3,4.3,bf16,DeepInfra,DeepInfra:400,0,rows,1024,400,1,0.45,0.0249,0.0,0.5,0.9725,0.0,69,220,0.2245,0.4898,0.4366,2026-08-29T10-04-13-00-00_pokemon-gen1_jnvh5QTUsDdGu2hH6AdZaf.eval
meta-llama/llama-3.1-8b-instruct,llama-3,8.03,8.03,fp8,DeepInfra,DeepInfra:400,0,rows,1024,400,1,0.4325,0.0248,0.0,0.4975,0.9925,0.03,68,227,0.1429,0.551,0.4085,2026-08-29T10-04-48-00-00_pokemon-gen1_WjfT5Dqm5zLc7g5izu5efk.eval
google/gemma-3-12b-it,gemma-3,12.2,12.2,bf16,DeepInfra,DeepInfra:400,0,rows,1024,400,1,0.6425,0.024,0.0,0.665,0.56,0.0,63,143,0.5306,0.9592,0.5915,2026-08-29T10-05-59-00-00_pokemon-gen1_2GzES3NznjVYcpYTLhT2Tn.eval
google/gemma-3-27b-it,gemma-3,27.4,27.4,bf16,Novita,Novita:400,0,rows,1024,400,1,0.6875,0.0232,0.0,0.71,0.5425,0.0,75,125,0.3265,0.7347,0.7042,2026-08-29T10-06-29-00-00_pokemon-gen1_QidxDRGQDR6GcfkWtTouPo.eval
qwen/qwen3-30b-a3b-instruct-2507,qwen-3,30.5,3.3,bf16,CoreWeave,CoreWeave:400,0,rows,1024,400,1,0.82,0.0192,0.0,0.84,0.2975,0.0,35,72,0.6122,1.0,0.6901,2026-08-29T10-07-17-00-00_pokemon-gen1_dpxT6EYhFhG4m9wLy3DwUf.eval
qwen/qwen3-32b,qwen-3,32.8,32.8,fp8,DeepInfra,DeepInfra:400,0,rows,1024,400,1,0.93,0.0128,0.0,0.935,0.155,0.02,6,28,0.9388,0.9388,0.831,2026-08-29T10-07-56-00-00_pokemon-gen1_4wgXtDm9ZWf4t4SQHdmKgP.eval
qwen/qwen3-235b-a22b-2507,qwen-3,235.0,22.0,fp8,GMICloud,GMICloud:400,0,rows,1024,400,1,0.8425,0.0182,0.0,0.865,0.245,0.0,31,63,0.898,0.9796,0.8028,2026-08-29T10-11-57-00-00_pokemon-gen1_BE3YdX6rNguyKhodMRNTzY.eval
openai/gpt-5-nano,gpt-5,nan,nan,unknown,Azure,Azure:400,0,rows,4096,400,1,0.9875,0.0056,0.0,0.99,0.03,0.005,1,5,0.9796,1.0,1.0,2026-08-29T10-05-56-00-00_pokemon-gen1_gcU8pwWeEbQvdqfFNJCAXf.eval
meta-llama/llama-3.2-1b-instruct,llama-3,1.24,1.24,unknown,Cloudflare,Cloudflare:1200,0,table,1024,400,3,0.2225,0.0208,0.035,0.2533,1.935,0.1983,147,933,0.0272,0.0952,0.2207,2026-08-29T09-38-19-00-00_pokemon-gen1_UEgA8aDkCzmq59mVHi3ubA.eval
meta-llama/llama-3.2-3b-instruct,llama-3,3.21,3.21,bf16,Parasail,?:96;Parasail:1200,0,table,1024,400,3,0.25,0.0217,0.02,0.3233,1.3633,0.0142,176,900,0.034,0.2041,0.3333,2026-08-29T09-39-38-00-00_pokemon-gen1_3udPGpCz22S8tB54PYjfqa.eval
google/gemma-3-4b-it,gemma-3,4.3,4.3,bf16,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.275,0.0223,0.05,0.3492,1.225,0.0,201,870,0.0136,0.3469,0.3897,2026-08-29T09-44-27-00-00_pokemon-gen1_cMf4WuhhNmgnV8m4cASAMm.eval
meta-llama/llama-3.1-8b-instruct,llama-3,8.03,8.03,fp8,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.2792,0.0224,0.01,0.3325,1.2983,0.02,189,865,0.0816,0.2925,0.3146,2026-08-29T09-45-43-00-00_pokemon-gen1_cmwEdVLftYe24scexhiLPV.eval
google/gemma-3-12b-it,gemma-3,12.2,12.2,bf16,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.5075,0.025,0.02,0.5442,0.8142,0.0,189,591,0.3333,0.7415,0.4272,2026-08-29T09-47-58-00-00_pokemon-gen1_UQwR3AFkTLUv36VFnXoWbA.eval
google/gemma-3-27b-it,gemma-3,27.4,27.4,bf16,Novita,?:66;Novita:1200,0,table,1024,400,3,0.6167,0.0243,0.0225,0.6467,0.6725,0.0,276,460,0.2109,0.8027,0.4554,2026-08-29T09-49-05-00-00_pokemon-gen1_UYjWkDT2Jpp8ozYXV7M9RE.eval
qwen/qwen3-30b-a3b-instruct-2507,qwen-3,30.5,3.3,bf16,CoreWeave,CoreWeave:1200,0,table,1024,400,3,0.6425,0.024,0.05,0.6608,0.6458,0.0,205,429,0.2109,0.7823,0.4366,2026-08-29T09-54-37-00-00_pokemon-gen1_dXi5ocVZgUwmZ6n49Hy9bU.eval
qwen/qwen3-32b,qwen-3,32.8,32.8,fp8,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.6967,0.023,0.0175,0.7117,0.8333,0.1433,80,364,0.4558,0.8095,0.5211,2026-08-29T09-55-43-00-00_pokemon-gen1_AZEWYYZubRvnWs9Kk6VMYJ.eval
qwen/qwen3-235b-a22b-2507,qwen-3,235.0,22.0,fp8,GMICloud,GMICloud:1200,0,table,1024,400,3,0.7642,0.0212,0.0175,0.7867,0.3317,0.0,149,283,0.8163,0.9728,0.6009,2026-08-29T09-59-27-00-00_pokemon-gen1_QNzKSYBXbJdsgKpfaMtxjx.eval
openai/gpt-5-nano,gpt-5,nan,nan,unknown,Azure,Azure:1200,0,table,4096,400,3,0.9542,0.0105,0.0225,0.9608,0.0833,0.0033,20,55,0.9592,0.9932,0.8732,2026-08-29T10-02-32-00-00_pokemon-gen1_MbHRJKBdKpZqoFoZujCwL8.eval
