model,family,params_total_b,params_active_b,quant,host_pinned,hosts_seen,host_errors,format,max_tokens,items,epochs,exact,exact_stderr,exact_ci95_low,exact_ci95_high,exact_epoch_range,bucket,steps_off,parse_failures,lenient_accuracy,transposed_misses,misses,quad,immune,differs,log
meta-llama/llama-3.2-1b-instruct,llama-3,1.24,1.24,unknown,Cloudflare,Cloudflare:1200,0,table,1024,400,3,0.1417,0.0174,0.1109,0.1793,0.045,0.1725,2.4667,0.3533,0.1958,99,1030,0.0204,0.1701,0.1315,2026-08-29T14-52-37-00-00_pokemon-gen1_HZrs5Z4LzLDDGMTsRh3pbU.eval
meta-llama/llama-3.2-3b-instruct,llama-3,3.21,3.21,bf16,Parasail,?:34;Parasail:1200,0,table,1024,400,3,0.2042,0.0202,0.1676,0.2464,0.0275,0.2733,1.4425,0.0025,0.2042,178,955,0.0068,0.068,0.2817,2026-08-29T14-53-25-00-00_pokemon-gen1_5pHRzdEqHjEBAAi86P3GT8.eval
google/gemma-3-4b-it,gemma-3,4.3,4.3,bf16,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.1717,0.0189,0.1379,0.2117,0.0025,0.2442,1.4283,0.0,0.1717,184,994,0.0,0.0,0.3662,2026-08-29T14-55-58-00-00_pokemon-gen1_T52U3CoXeKTXxeNt6AG3hx.eval
meta-llama/llama-3.1-8b-instruct,llama-3,8.03,8.03,fp8,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.19,0.0196,0.1546,0.2313,0.015,0.2458,1.5058,0.0142,0.1908,210,972,0.0068,0.0136,0.1925,2026-08-29T14-56-43-00-00_pokemon-gen1_gNkdMnfY7PSQqEUi9k5TFq.eval
google/gemma-3-12b-it,gemma-3,12.2,12.2,bf16,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.2658,0.0221,0.2249,0.3112,0.03,0.3058,1.4275,0.0,0.2658,141,881,0.068,0.3401,0.1455,2026-08-29T14-58-16-00-00_pokemon-gen1_Q3Hr2TgsoLLVS8z5EBhLDV.eval
google/gemma-3-27b-it,gemma-3,27.4,27.4,bf16,Novita,Novita:1200,0,table,1024,400,3,0.2792,0.0224,0.2375,0.3251,0.0275,0.3183,1.3542,0.0,0.2792,163,865,0.1088,0.3265,0.2958,2026-08-29T14-59-03-00-00_pokemon-gen1_ZEFJRMJCq63f9miTGQagws.eval
qwen/qwen3-30b-a3b-instruct-2507,qwen-3,30.5,3.3,bf16,CoreWeave,CoreWeave:1200,0,table,1024,400,3,0.2483,0.0216,0.2085,0.2929,0.0125,0.3083,1.4733,0.0017,0.2483,134,902,0.381,0.4422,0.0892,2026-08-29T15-02-21-00-00_pokemon-gen1_fKTUfwC5ZxtzPnYrxmgaPy.eval
qwen/qwen3-32b,qwen-3,32.8,32.8,fp8,DeepInfra,?:7;DeepInfra:1200,0,table,1024,400,3,0.5075,0.025,0.4587,0.5562,0.0525,0.5417,1.1092,0.1067,0.5083,96,591,0.4422,0.3673,0.1408,2026-08-29T15-03-27-00-00_pokemon-gen1_3qSxgMWJGHBqa8agrKhocg.eval
qwen/qwen3-235b-a22b-2507,qwen-3,235.0,22.0,fp8,GMICloud,GMICloud:1200,0,table,1024,400,3,0.51,0.025,0.4611,0.5587,0.02,0.555,0.82,0.0,0.51,148,588,0.3537,0.8163,0.2911,2026-08-29T15-17-02-00-00_pokemon-gen1_M64uMS7rxuQrpRdM53Pdzy.eval
openai/gpt-5-nano,gpt-5,nan,nan,unknown,Azure,Azure:1200,0,table,4096,400,3,0.665,0.0236,0.6174,0.7095,0.0275,0.7058,0.6867,0.0558,0.665,59,402,0.6395,0.7483,0.0516,2026-08-29T15-19-18-00-00_pokemon-gen1_KbLDhQmF5t6Qis9LbWPapM.eval
