model,family,params_total_b,params_active_b,quant,host_pinned,hosts_seen,host_errors,format,max_tokens,items,epochs,exact,exact_stderr,exact_ci95_low,exact_ci95_high,exact_epoch_range,bucket,steps_off,parse_failures,lenient_accuracy,transposed_misses,misses,quad,immune,differs,log
meta-llama/llama-3.2-1b-instruct,llama-3,1.24,1.24,unknown,Cloudflare,Cloudflare:400,0,table,1024,400,1,0.235,0.0212,0.1961,0.279,0.0,0.275,1.9075,0.1925,0.2725,45,306,0.0204,0.1224,0.2254,2026-08-29T16-55-14-00-00_pokemon-gen1_XKnPEZzy5mvpCUs8jNX2ZR.eval
meta-llama/llama-3.2-3b-instruct,llama-3,3.21,3.21,bf16,Parasail,?:22;Parasail:400,0,table,1024,400,1,0.1925,0.0197,0.1569,0.234,0.0,0.2525,1.5,0.025,0.1925,57,323,0.0204,0.1224,0.3239,2026-08-29T16-55-54-00-00_pokemon-gen1_hutQkpGU2C34EhtSWAR46b.eval
google/gemma-3-4b-it,gemma-3,4.3,4.3,bf16,DeepInfra,DeepInfra:400,0,table,1024,400,1,0.2775,0.0224,0.2359,0.3233,0.0,0.35,1.2825,0.0,0.2775,65,289,0.0204,0.3061,0.2958,2026-08-29T16-57-15-00-00_pokemon-gen1_mFFd9RxzETQVbD8NL6TpZm.eval
meta-llama/llama-3.1-8b-instruct,llama-3,8.03,8.03,fp8,DeepInfra,DeepInfra:400,0,table,1024,400,1,0.2325,0.0211,0.1938,0.2763,0.0,0.2725,1.4475,0.015,0.235,56,307,0.0816,0.2449,0.1972,2026-08-29T16-57-46-00-00_pokemon-gen1_V3qrrHED7mwWsDDTtpaMCk.eval
google/gemma-3-12b-it,gemma-3,12.2,12.2,bf16,DeepInfra,DeepInfra:400,0,table,1024,400,1,0.5175,0.025,0.4686,0.5661,0.0,0.57,0.7425,0.0,0.5175,64,193,0.2449,0.8571,0.5211,2026-08-29T16-59-17-00-00_pokemon-gen1_Rv96JBhdfR8oF48vcG6jLe.eval
google/gemma-3-27b-it,gemma-3,27.4,27.4,bf16,Novita,?:7;Novita:400,0,table,1024,400,1,0.65,0.0238,0.602,0.6951,0.0,0.6875,0.6175,0.0,0.65,78,140,0.3265,0.7755,0.6338,2026-08-29T16-59-45-00-00_pokemon-gen1_9pyya87GD6xj8cMk6J4FNf.eval
qwen/qwen3-30b-a3b-instruct-2507,qwen-3,30.5,3.3,bf16,CoreWeave,CoreWeave:400,0,table,1024,400,1,0.7,0.0229,0.6534,0.7428,0.0,0.725,0.5475,0.0,0.7,65,120,0.5306,0.6939,0.6479,2026-08-29T17-05-15-00-00_pokemon-gen1_EHYU3CfnT8B8YryWfvnRcz.eval
qwen/qwen3-32b,qwen-3,32.8,32.8,fp8,DeepInfra,?:26;DeepInfra:400,0,table,1024,400,1,0.6925,0.0231,0.6456,0.7357,0.0,0.7175,0.96,0.2,0.6925,14,123,0.6327,0.5102,0.662,2026-08-29T17-05-43-00-00_pokemon-gen1_To7s7nV3fE3i449Yzk8nZV.eval
qwen/qwen3-235b-a22b-2507,qwen-3,235.0,22.0,fp8,GMICloud,GMICloud:400,0,table,1024,400,1,0.77,0.021,0.7263,0.8086,0.0,0.8,0.3375,0.0,0.77,41,92,0.8571,0.9796,0.8169,2026-08-29T17-18-02-00-00_pokemon-gen1_T32Pt9mt6UknwdaFopXnxZ.eval
openai/gpt-5-nano,gpt-5,nan,nan,unknown,Azure,Azure:400,0,table,4096,400,1,0.9425,0.0116,0.9152,0.9614,0.0,0.9575,0.08,0.0025,0.9425,2,23,0.9592,1.0,0.9437,2026-08-29T17-19-02-00-00_pokemon-gen1_GMoSage28HAwWhJa6K3T5X.eval
