model,family,params_total_b,params_active_b,quant,host_pinned,hosts_seen,host_errors,format,max_tokens,items,epochs,exact,exact_stderr,exact_ci95_low,exact_ci95_high,exact_epoch_range,bucket,steps_off,parse_failures,lenient_accuracy,transposed_misses,misses,quad,immune,differs,log
meta-llama/llama-3.2-1b-instruct,llama-3,1.24,1.24,unknown,Cloudflare,?:2;Cloudflare:400,0,rows,1024,400,1,0.295,0.0228,0.2524,0.3415,0.0,0.315,1.7675,0.1725,0.3125,36,282,0.0612,0.2449,0.3099,2026-08-29T10-02-00-00-00_pokemon-gen1_FZfDNy6um4JcBfbbmCfiX7.eval
meta-llama/llama-3.2-3b-instruct,llama-3,3.21,3.21,bf16,Parasail,?:38;Parasail:400,0,rows,1024,400,1,0.24,0.0214,0.2007,0.2842,0.0,0.2975,1.415,0.0125,0.24,68,304,0.0612,0.1429,0.338,2026-08-29T10-02-41-00-00_pokemon-gen1_3iDZYzQaHqTDGM6VyASYsW.eval
google/gemma-3-4b-it,gemma-3,4.3,4.3,bf16,DeepInfra,DeepInfra:400,0,rows,1024,400,1,0.45,0.0249,0.402,0.499,0.0,0.5,0.9725,0.0,0.45,69,220,0.2245,0.4898,0.4366,2026-08-29T10-04-13-00-00_pokemon-gen1_jnvh5QTUsDdGu2hH6AdZaf.eval
meta-llama/llama-3.1-8b-instruct,llama-3,8.03,8.03,fp8,DeepInfra,DeepInfra:400,0,rows,1024,400,1,0.4325,0.0248,0.3848,0.4815,0.0,0.4975,0.9925,0.03,0.44,68,227,0.1429,0.551,0.4085,2026-08-29T10-04-48-00-00_pokemon-gen1_WjfT5Dqm5zLc7g5izu5efk.eval
google/gemma-3-12b-it,gemma-3,12.2,12.2,bf16,DeepInfra,DeepInfra:400,0,rows,1024,400,1,0.6425,0.024,0.5944,0.6879,0.0,0.665,0.56,0.0,0.6425,63,143,0.5306,0.9592,0.5915,2026-08-29T10-05-59-00-00_pokemon-gen1_2GzES3NznjVYcpYTLhT2Tn.eval
google/gemma-3-27b-it,gemma-3,27.4,27.4,bf16,Novita,Novita:400,0,rows,1024,400,1,0.6875,0.0232,0.6405,0.731,0.0,0.71,0.5425,0.0,0.6875,75,125,0.3265,0.7347,0.7042,2026-08-29T10-06-29-00-00_pokemon-gen1_QidxDRGQDR6GcfkWtTouPo.eval
qwen/qwen3-30b-a3b-instruct-2507,qwen-3,30.5,3.3,bf16,CoreWeave,CoreWeave:400,0,rows,1024,400,1,0.82,0.0192,0.7794,0.8545,0.0,0.84,0.2975,0.0,0.82,35,72,0.6122,1.0,0.6901,2026-08-29T10-07-17-00-00_pokemon-gen1_dpxT6EYhFhG4m9wLy3DwUf.eval
qwen/qwen3-32b,qwen-3,32.8,32.8,fp8,DeepInfra,DeepInfra:400,0,rows,1024,400,1,0.93,0.0128,0.9007,0.9511,0.0,0.935,0.155,0.02,0.93,6,28,0.9388,0.9388,0.831,2026-08-29T10-07-56-00-00_pokemon-gen1_4wgXtDm9ZWf4t4SQHdmKgP.eval
qwen/qwen3-235b-a22b-2507,qwen-3,235.0,22.0,fp8,GMICloud,GMICloud:400,0,rows,1024,400,1,0.8425,0.0182,0.8036,0.8749,0.0,0.865,0.245,0.0,0.8425,31,63,0.898,0.9796,0.8028,2026-08-29T10-11-57-00-00_pokemon-gen1_BE3YdX6rNguyKhodMRNTzY.eval
openai/gpt-5-nano,gpt-5,nan,nan,unknown,Azure,Azure:400,0,rows,4096,400,1,0.9875,0.0056,0.9711,0.9946,0.0,0.99,0.03,0.005,0.9875,1,5,0.9796,1.0,1.0,2026-08-29T10-05-56-00-00_pokemon-gen1_gcU8pwWeEbQvdqfFNJCAXf.eval
meta-llama/llama-3.2-1b-instruct,llama-3,1.24,1.24,unknown,Cloudflare,Cloudflare:1200,0,table,4096,400,3,0.2108,0.0204,0.1737,0.2535,0.0575,0.2392,1.9375,0.1925,0.2358,167,947,0.0068,0.1293,0.1455,2026-08-29T18-34-09-00-00_pokemon-gen1_eWGnp3i4V7PcoSKUpFaeh2.eval
meta-llama/llama-3.2-1b-instruct,llama-3,1.24,1.24,unknown,Cloudflare,Cloudflare:1200,0,table,1024,400,3,0.2225,0.0208,0.1845,0.2658,0.035,0.2533,1.935,0.1983,0.25,147,933,0.0272,0.0952,0.2207,2026-08-29T09-38-19-00-00_pokemon-gen1_UEgA8aDkCzmq59mVHi3ubA.eval
meta-llama/llama-3.2-3b-instruct,llama-3,3.21,3.21,bf16,Parasail,?:96;Parasail:1200,0,table,1024,400,3,0.25,0.0217,0.2101,0.2947,0.02,0.3233,1.3633,0.0142,0.25,176,900,0.034,0.2041,0.3333,2026-08-29T09-39-38-00-00_pokemon-gen1_3udPGpCz22S8tB54PYjfqa.eval
google/gemma-3-4b-it,gemma-3,4.3,4.3,bf16,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.275,0.0223,0.2335,0.3207,0.05,0.3492,1.225,0.0,0.275,201,870,0.0136,0.3469,0.3897,2026-08-29T09-44-27-00-00_pokemon-gen1_cMf4WuhhNmgnV8m4cASAMm.eval
meta-llama/llama-3.1-8b-instruct,llama-3,8.03,8.03,fp8,DeepInfra,DeepInfra:1200,0,table,1024,400,3,0.2792,0.0224,0.2375,0.3251,0.01,0.3325,1.2983,0.02,0.2817,189,865,0.0816,0.2925,0.3146,2026-08-29T09-45-43-00-00_pokemon-gen1_cmwEdVLftYe24scexhiLPV.eval
